nm_item,nm_product
APRESUNTADO REZENDE PEC KG,APRESUNTADO
CARNE SUIN ESPINHACO KG,CARNE SUINA
"WHISKY WHITE 1L, HORSE TRAD, .",WHISKY
"WHISKY JOHNN WALKER 1L UN, RED LABEL, .",WHISKY
"WHISKY JOHNNIE WALKER 1L, BLACK LAB, .",WHISKY
WHISKY OLD PARR GF 1L,WHISKY
"LTE COND MOCA, SEMI DESN TP 395G, .",LEITE CONDENSADO
"BEB NESTLE FAST 280ML, ALPINO, .",BEBIDA LACTEA
"ACHOC PO NESCAU SCH, 2.0 800G, .",ACHOCOLATADO
"RACAO FRISK 3KG, MIX DE CNE SEL SAB, .",ALIMENTO PET
"SAB JOHNS BABY 80G, HORA SONO, .",SABONETE INFANTIL
ABS SEMPRE LIVRE ES ADP LV16 PGMENOS UN,ABSORVENTE
"SH JOHNS BABY 400ML, REGULAR, .",SHAMPOO INFANTIL
"PROT CAREFREE 40UN, PROT S/PERF, .",ABSORVENTE
"LIMP SAN HARPIC 500ML, LAV, .",MULTIUSO
"LIMP VEJA M USO 500ML, CAMPEST, .",MULTIUSO
"CALDO KNORR 19G, GAL, .",CALDO INDUSTRIALIZADO
"CALDO KNORR 57G, LEG, .",CALDO INDUSTRIALIZADO
"CALDO KNORR 57G, GAL, .",CALDO INDUSTRIALIZADO
"CALDO KNORR 114G, GAL, .",CALDO INDUSTRIALIZADO
AMIDO MILHO MAIZENA CX 200G,AMIDO DE MILHO
AMIDO MILHO MAIZENA CX 500G,AMIDO DE MILHO
AMIDO MILHO MAIZENA CX 1KG,AMIDO DE MILHO
MAIONESE HELLMANNS SCH 200G,MAIONESE
"CALDO KNORR 57G, COSTELA, .",CALDO INDUSTRIALIZADO
"CALDO KNORR 57G, BACON/LOURO, .",CALDO INDUSTRIALIZADO
"MAIONESE HELLMANNS 250G, TRAD , .",MAIONESE
MAIONESE HELLMANNS TRAD PT 500G,MAIONESE
"DESOD AER NIVEA 150ML, BLeWHIT CL, .",DESODORANTE
"DESOD R NIVEA 50ML, BLACK WHITE/CLEAN, .",DESODORANTE
"DESOD AER NIVEA 150ML, BLeWHIT POW, .",DESODORANTE
"DESOD R NIVEA 50ML, BLACK WHITE POW, .",DESODORANTE
CERV ANTARCTA ORIG ONE WAY 600ML,CERVEJA
"SAB LIQ NIVEA INT 250ML, SVE, .",SABONETE
"CHOC TALENTO BR 25G, AVELA, .",CHOCOLATE
"CHOC TALENTO BR 25G, CAST PARA, .",CHOCOLATE
"CHOC TALENTO BR 25G, CEREAIS/PASS, .",CHOCOLATE
"CHOC TALENTO BR 25G, AMENDOA/PASS, .",CHOCOLATE
"SH PALMOLIVE NAT 350ML, LISS, .",SHAMPOO
"SH PALMOL NAT ANTIC 350ML, CLASSIC, .",SHAMPOO
AP BARB PROBAK C/2 UN,APARELHO DE BARBEAR E DEPILATORIO
AP BARB PROBAK L7P5UN,APARELHO DE BARBEAR E DEPILATORIO
"BATATA VISCONTI PALHA 140G, TRAD, .",VEGETAL EM PALHA
FAR TRIGO SOL ESPECIAL PCT 1KG,FARINHA DE TRIGO
FAR TRIGO SOL ESPECIAL PCT 5KG,FARINHA DE TRIGO
"BIG CHICKEN PERDIGAO 1 KG, TRAD, .",EMPANADO CONGELADO
LINGUICA PERDIG MIST DEF 240 G,LINGUICA
"HAMB PERDIGAO 672G, DEFUMADO, .",HAMBURGUER CONGELADO
"BISC NESTLE NEGR 140G, CHOC, .",BISCOITO
"ANTIS COLG PLAX 250ML, FRESH MINT, .",ENXAGUANTE BUCAL
"KIT COLG PLAX 500ML 1,99 L250ML, MINT, .",ENXAGUANTE BUCAL
"ANTIS COLGATE L1L P700ML UN, MINT, .",ENXAGUANTE BUCAL
"CR DENT COLG T 12, PROF G SAUDAV 70G, .",CREME DENTAL
"SH PALMOL NAT ANTIC 350ML, ANTIQ MEN, .",SHAMPOO
EXT TOMATE CAJAMAR LT 350G,EXTRATO DE TOMATE
"CALDO KNORR 57G, PICANHA, .",CALDO INDUSTRIALIZADO
ADOC LIQ ZERO CAL SACARINA FC 100ML,ADOCANTE
ADOC LIQ ZERO CAL SACARINA FC 200ML,ADOCANTE
"SUCO PURITY NECTAR 1L, MARAC, .",SUCO PRONTO
"SUCO PURITY NECTAR 1L, FTS CITR, .",SUCO PRONTO
"BEB PURITY SOJA 1L, ORIG, .",BEBIDA DE SOJA
SUCO PURITY SOJA ORIGINAL ZERO 1L,SUCO PRONTO
"SUCO PURITY SOJA 1L, LJA, .",SUCO PRONTO
"SUCO PURITY SOJA 1L, MAC, .",SUCO PRONTO
"SUCO PURITY SOJA 1L, PESS, .",SUCO PRONTO
"SUCO PURITY SOJA 1L, UVA, .",SUCO PRONTO
"SUCO PURITY SOJA 1L, ABACAXI, .",SUCO PRONTO
"SUCO PURITY SOJA 1L, MARAC, .",SUCO PRONTO
"SUCO PURITY NECTAR 1L, CAJU, .",SUCO PRONTO
"DESOD R REXONA 50ML, XTRACOOL, .",DESODORANTE
"MARG LECO EXTRA CREM 200G, C/SAL, .",MARGARINA
CER MAT KELLOGGS CORN FLAKES CX 200G,CEREAL MATINAL
"CER MAT SUPERBOM 200G, SKARCHITOS, .",CEREAL MATINAL
"POLVILHO P/PES GRANADO 100G, TRAD, .",POLVILHO
"SAB GRANADO 90G, GLICERINA",SABONETE
"SAB GRANADO 90G, BEBE",SABONETE INFANTIL
QUEIJO RAL RELIQUEA GROSSO PCT 50G,QUEIJO
